日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-05,17.21,16.59,17.21,15.52,12439,122461875.00,9.80,-3.77,-0.65,7.77
2015-01-06,16.40,17.71,17.91,16.21,18975,197805302.00,10.25,6.75,1.12,11.86
2015-01-07,17.54,17.20,17.69,16.99,11067,115027812.00,3.95,-2.88,-0.51,6.92
2015-01-08,17.16,17.19,17.66,16.91,12004,125724493.00,4.36,-0.06,-0.01,7.50
2015-01-09,16.91,17.19,17.74,16.86,12101,127124798.00,5.12,0.00,0.00,7.56
2015-01-12,17.04,17.85,17.91,16.74,13321,139832446.00,6.81,3.84,0.66,8.33
2015-01-13,18.42,18.05,19.10,17.99,19039,211967684.00,6.22,1.12,0.20,11.90
2015-01-14,17.79,17.41,18.07,17.19,13286,140029428.00,4.88,-3.55,-0.64,8.30
2015-01-15,17.27,17.16,17.65,17.05,8848,92136082.00,3.45,-1.44,-0.25,5.53
2015-01-16,17.07,18.16,18.41,17.02,16903,181996585.00,8.10,5.83,1.00,10.56
2015-01-19,17.57,19.56,19.98,17.46,36232,422738336.00,13.88,7.71,1.40,22.64
2015-01-20,19.91,20.40,20.49,19.24,28964,347972432.00,6.39,4.29,0.84,18.10
2015-01-21,20.36,20.04,20.66,19.82,19345,235319782.00,4.12,-1.76,-0.36,12.09
2015-01-22,20.12,22.05,22.05,20.12,30546,394375072.00,9.63,10.03,2.01,19.09
2015-01-23,21.90,21.46,22.54,20.99,24178,315357424.00,7.03,-2.68,-0.59,15.11
2015-01-26,21.39,22.96,23.60,21.39,28179,387956704.00,10.30,6.99,1.50,17.61
2015-01-27,22.74,23.64,23.66,22.25,18910,259600064.00,6.14,2.96,0.68,11.82
2015-01-28,23.27,22.67,23.74,22.62,13646,190042684.00,4.74,-4.10,-0.97,8.53
2015-01-29,22.07,22.04,22.72,21.91,9669,129249568.00,3.57,-2.78,-0.63,6.04
2015-01-30,21.99,21.00,22.54,20.79,11577,149872219.00,7.94,-4.72,-1.04,7.24
2015-02-02,20.49,22.26,22.40,20.29,14457,188806793.00,10.05,6.00,1.26,9.04
2015-02-03,22.12,21.91,23.24,21.79,17250,234661794.00,6.51,-1.57,-0.35,10.78
2015-02-04,21.57,21.67,22.65,21.44,15834,207863064.00,5.52,-1.10,-0.24,9.90
2015-02-05,21.69,21.77,22.57,21.24,12478,164646295.00,6.14,0.46,0.10,7.80
2015-02-06,21.58,20.16,21.84,19.83,17404,216164065.00,9.23,-7.40,-1.61,10.88
2015-02-09,20.16,19.68,20.64,19.65,8169,98622156.00,4.91,-2.38,-0.48,5.11
2015-02-10,19.67,19.91,20.02,19.36,6584,78147245.00,3.35,1.17,0.23,4.12
2015-02-11,19.91,21.26,21.55,19.74,13243,166661603.00,9.09,6.78,1.35,8.28
2015-02-12,21.39,22.12,22.84,21.37,16886,225157265.00,6.91,4.05,0.86,10.55
2015-02-13,22.13,24.35,24.35,21.76,30461,431468448.00,11.71,10.08,2.23,19.04
2015-02-16,24.34,24.40,24.99,23.81,21667,317443184.00,4.85,0.21,0.05,13.54
2015-02-17,24.32,23.53,25.01,23.49,20008,289161568.00,6.23,-3.57,-0.87,12.50
2015-02-25,23.42,22.07,23.74,22.04,14059,192517610.00,7.22,-6.20,-1.46,8.79
2015-02-26,22.06,22.71,22.94,21.99,10113,137214200.00,4.30,2.90,0.64,6.32
2015-02-27,22.44,22.59,23.14,22.37,8821,121065073.00,3.39,-0.53,-0.12,5.51
2015-03-02,22.45,22.85,22.90,22.07,11181,151580754.00,3.67,1.15,0.26,6.99
2015-03-03,22.81,22.17,22.81,22.17,9161,123525941.00,2.80,-2.98,-0.68,5.73
2015-03-04,22.29,22.90,23.34,22.24,10764,148343955.00,4.96,3.29,0.73,6.73
2015-03-05,22.91,22.24,23.22,21.89,13957,187894685.00,5.81,-2.88,-0.66,8.72
2015-03-06,22.05,21.49,22.31,21.44,9280,122188055.00,3.91,-3.37,-0.75,5.80
2015-03-09,21.49,21.74,21.90,21.04,6603,85858456.00,4.00,1.16,0.25,4.13
2015-03-10,21.71,22.16,22.57,21.71,9106,122252491.00,3.96,1.93,0.42,5.69
2015-03-11,22.12,21.59,22.24,21.50,7496,97927215.00,3.34,-2.57,-0.57,4.68
2015-03-12,21.77,21.41,22.07,21.24,8216,106705503.00,3.84,-0.83,-0.18,5.14
2015-03-13,21.47,22.39,22.66,21.47,11802,157700809.00,5.56,4.58,0.98,7.38
2015-03-16,22.60,23.12,23.52,22.60,15701,218990121.00,4.11,3.26,0.73,9.81
2015-03-17,23.32,23.10,23.66,22.86,11685,162787937.00,3.46,-0.09,-0.02,7.30
2015-03-18,22.91,24.66,25.00,22.75,24534,352694144.00,9.74,6.75,1.56,15.33
2015-03-19,24.32,24.12,24.32,23.74,14947,216326937.00,2.35,-2.19,-0.54,9.34
2015-03-20,24.09,24.39,24.91,23.71,17508,257082912.00,4.98,1.12,0.27,10.94
2015-03-23,24.41,26.36,26.82,24.33,24371,377872336.00,10.21,8.08,1.97,15.23
2015-03-24,26.36,29.00,29.00,25.57,32266,530126576.00,13.01,10.02,2.64,20.17
2015-03-25,29.07,29.41,30.74,28.58,27501,491755664.00,7.45,1.41,0.41,17.19
2015-03-26,28.24,30.71,31.54,26.59,37691,653505392.00,16.83,4.42,1.30,23.56
2015-03-27,28.07,27.63,28.87,27.63,28592,482304016.00,4.04,-10.03,-3.08,17.87
2015-03-30,27.63,25.17,27.85,24.86,30017,468432848.00,10.82,-8.90,-2.46,18.76
2015-03-31,25.32,25.76,26.52,24.91,18736,292510368.00,6.40,2.34,0.59,11.71
2015-04-01,25.77,26.41,26.86,25.52,12440,197116023.00,5.20,2.52,0.65,7.78
2015-04-02,27.05,28.78,29.06,27.05,29229,499347216.00,7.61,8.97,2.37,18.27
2015-04-03,28.47,29.82,29.94,28.07,18192,316054080.00,6.50,3.61,1.04,11.37
2015-04-07,29.55,31.36,32.79,29.54,18685,349026480.00,10.90,5.16,1.54,11.68
2015-04-08,31.41,29.91,31.57,28.91,14473,261720886.00,8.48,-4.62,-1.45,9.05
2015-04-09,30.16,29.08,30.19,27.09,18973,326834240.00,10.36,-2.77,-0.83,11.86
2015-04-10,28.24,30.24,30.32,28.07,11386,203529090.00,7.74,3.99,1.16,7.12
2015-04-13,30.23,31.29,32.84,28.24,16513,303494192.00,15.21,3.47,1.05,10.32
2015-04-14,31.29,33.47,34.32,30.79,16673,330805072.00,11.28,6.97,2.18,10.42
2015-04-15,33.74,31.07,33.74,30.97,9842,191300306.00,8.28,-7.17,-2.40,6.15
2015-04-16,30.41,30.86,32.97,29.27,9247,175639618.00,11.91,-0.68,-0.21,5.78
